image,label_file,class_id,diameter_pixels,real_diameter,unit
流程_35490.jpg,流程_35490.txt,0,59.79,27.18,um
流程_35490.jpg,流程_35490.txt,0,62.69,28.49,um
流程_35490.jpg,流程_35490.txt,0,60.43,27.47,um
流程_35490.jpg,流程_35490.txt,0,58.71,26.69,um
流程_35490.jpg,流程_35490.txt,0,58.60,26.63,um
流程_35490.jpg,流程_35490.txt,0,58.18,26.45,um
流程_35490.jpg,流程_35490.txt,0,55.36,25.16,um
流程_35490.jpg,流程_35490.txt,0,61.17,27.80,um
流程_35490.jpg,流程_35490.txt,0,72.22,32.83,um
流程_35490.jpg,流程_35490.txt,1,61.55,27.98,um
流程_35490.jpg,流程_35490.txt,0,57.43,26.10,um
流程_35490.jpg,流程_35490.txt,1,52.95,24.07,um
流程_35490.jpg,流程_35490.txt,1,56.55,25.70,um
流程_35490.jpg,流程_35490.txt,0,59.62,27.10,um
流程_35490.jpg,流程_35490.txt,0,63.92,29.06,um
流程_35490.jpg,流程_35490.txt,1,56.10,25.50,um
流程_35490.jpg,流程_35490.txt,0,60.37,27.44,um
流程_35490.jpg,流程_35490.txt,1,48.92,22.24,um
流程_35490.jpg,流程_35490.txt,1,41.49,18.86,um
流程_35490.jpg,流程_35490.txt,1,50.85,23.11,um
流程_35490.jpg,流程_35490.txt,0,66.50,30.23,um
流程_35490.jpg,流程_35490.txt,1,49.34,22.43,um
流程_35490.jpg,流程_35490.txt,1,52.85,24.02,um
流程_35490.jpg,流程_35490.txt,0,68.39,31.09,um
流程_35490.jpg,流程_35490.txt,1,49.23,22.38,um
流程_35490.jpg,流程_35490.txt,1,55.35,25.16,um
流程_35490.jpg,流程_35490.txt,1,54.38,24.72,um
流程_35490.jpg,流程_35490.txt,1,46.17,20.99,um
流程_35490.jpg,流程_35490.txt,1,54.06,24.57,um
流程_35490.jpg,流程_35490.txt,1,50.76,23.07,um
流程_35490.jpg,流程_35490.txt,1,40.94,18.61,um
流程_35490.jpg,流程_35490.txt,1,47.75,21.70,um
流程_35490.jpg,流程_35490.txt,1,49.60,22.54,um
流程_35490.jpg,流程_35490.txt,1,49.53,22.51,um
流程_35490.jpg,流程_35490.txt,1,47.38,21.53,um
流程_35490.jpg,流程_35490.txt,1,43.12,19.60,um
流程_35490.jpg,流程_35490.txt,1,30.20,13.73,um
流程_35490.jpg,流程_35490.txt,1,43.41,19.73,um
流程_35490.jpg,流程_35490.txt,1,44.54,20.24,um
流程_35490.jpg,流程_35490.txt,1,59.83,27.20,um
流程_35490.jpg,流程_35490.txt,1,48.20,21.91,um
流程_35490.jpg,流程_35490.txt,1,41.93,19.06,um
流程_35490.jpg,流程_35490.txt,1,28.06,12.75,um
流程_35490.jpg,流程_35490.txt,1,38.47,17.48,um
流程_35490.jpg,流程_35490.txt,1,61.81,28.10,um
流程_35490.jpg,流程_35490.txt,1,34.38,15.63,um
